step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
273,PAYMENT,2874.5,C558204606,246215.6,243341.1,C546213220,48.93,2699.96,0,0
719,PAYMENT,11870.42,C716348685,4730.11,0.0,C874181226,799.88,11551.53,0,0
306,PAYMENT,16107.54,C264109168,390.18,0.0,C800212110,87901.98,102086.71,0,0
243,CASH_OUT,7360.81,C953820954,62645.57,55284.76,C604944126,9542.21,16850.55,0,0
673,CASH_IN,57261.66,C860100390,126849.25,69587.59,C823882417,2495.53,51947.9,0,0
276,CASH_IN,2668.94,C387897031,160945.89,158276.95,C461487831,10069.47,12216.29,0,0
57,CASH_OUT,47815.89,C391146270,63419.2,15603.31,C498442966,146.04,41721.47,0,0
349,CASH_OUT,21360.45,C509364873,81006.08,59645.63,C763142737,8166.34,23300.72,0,0
592,CASH_OUT,7929.51,C195840907,14463.75,6534.24,C574955358,48995.61,55924.25,0,0
141,CASH_OUT,4596.79,C709882736,593.21,0.0,C489881333,3952.06,8414.3,0,0
344,CASH_OUT,639218.72,C224255555,13930.3,0.0,C978265930,202.44,448485.9,0,0
97,PAYMENT,1861.96,C988211681,33940.33,32078.37,C159119493,2332.99,4108.54,0,0
511,CASH_IN,13853.31,C475602435,10906.29,0.0,C149610352,49151.94,62182.07,0,0
354,CASH_OUT,2099.82,C407797803,10185.76,8085.94,C531126326,7828.56,9365.27,0,0
246,PAYMENT,201615.43,C149703198,3145.8,0.0,C130857160,382.62,192733.65,0,0
169,PAYMENT,39986.11,C250950939,2973.19,0.0,C406816258,348618.17,385767.81,0,0
420,TRANSFER,2389.81,C952928489,210496.18,208106.37,C282951300,514.47,2539.39,0,0
498,PAYMENT,20387.37,C583405181,222241.42,201854.05,C356240707,3173.96,18944.9,0,0
699,PAYMENT,12885.43,C911706229,13306.78,421.35,C956261519,759.53,10893.02,0,0
325,CASH_OUT,3197.34,C960326179,20379.51,17182.17,C803280725,761.43,3586.86,0,0
120,CASH_OUT,31719.78,C144040325,3067.79,0.0,C592659301,2177.93,26725.59,0,0
619,CASH_OUT,16329.85,C442706356,35026.57,18696.72,C224298784,15445.46,28470.26,0,0
468,PAYMENT,11947.27,C854480549,187114.08,175166.81,C318392932,50159.17,61858.55,0,0
521,PAYMENT,7514.16,C557986756,1347.7,0.0,C496547401,2452.58,9356.58,0,0
73,CASH_OUT,17604.29,C613086340,26791.1,9186.81,C322015269,797.71,17008.13,0,0
233,CASH_OUT,12245.3,C731766599,29987.42,17742.12,C429576788,11632.41,23715.84,0,0
571,CASH_OUT,9012.5,C944878288,29478.3,20465.8,C850477213,12262.91,18587.33,0,0
619,CASH_IN,2555.93,C898238052,157035.39,154479.46,C342130917,7575.52,9552.14,0,0
324,CASH_IN,170890.66,C662581150,283233.61,112342.95,C546709680,8073.41,161429.35,0,0
598,CASH_IN,1223.22,C619277038,9412.32,8189.1,C743011169,4013.35,5030.43,0,0
626,TRANSFER,17496.31,C424896209,36671.7,19175.39,C785295056,5864.49,18704.01,0,0
288,CASH_OUT,4553.11,C204694390,15159.01,10605.9,C627219329,3544.06,7798.35,0,0
668,PAYMENT,192371.77,C738109756,5176.2,0.0,C682891695,33739.98,171116.85,0,0
215,PAYMENT,1593.57,C102320749,20054.75,18461.18,C509065361,271366.91,272742.41,0,0
178,CASH_IN,2157.11,C728355198,36579.72,34422.61,C941591901,6791.15,8665.12,0,0
508,CASH_IN,1414.21,C547229378,18497.54,17083.33,C600018457,4856.97,6116.73,0,0
474,PAYMENT,14504.83,C807830113,3562.54,0.0,C912950709,7789.64,19316.45,0,0
104,CASH_OUT,684.38,C954308918,6665.23,5980.85,C351480560,1503.79,1987.7,0,0
619,PAYMENT,3424.29,C615359684,6742.18,3317.89,C582811204,19476.45,22786.69,0,0
149,CASH_IN,168.3,C538635454,3775.67,3607.37,C778953627,10873.87,11038.6,0,0
599,PAYMENT,12490.93,C435645224,21382.1,8891.17,C345974684,2305.73,12855.53,0,0
6,PAYMENT,3293.19,C179988696,25013.43,21720.24,C565972311,24927.34,27252.96,0,0
593,CASH_OUT,556.41,C127829815,58062.56,57506.15,C597674216,5085.67,5572.12,0,0
585,CASH_OUT,57187.86,C923481475,3690.68,0.0,C259791896,857.39,46309.1,0,0
580,TRANSFER,769.85,C148469280,5618.29,4848.44,C259849412,9254.71,9835.75,0,0
494,CASH_OUT,34013.02,C394440994,137565.33,103552.31,C606765090,7529.52,33062.61,0,0
351,CASH_OUT,2294.17,C647385170,10438.5,8144.33,C260908367,27687.95,29417.24,0,0
524,CASH_OUT,144759.42,C761755642,13977.39,0.0,C953488053,21955.75,137655.05,0,0
206,CASH_OUT,31231.77,C724813481,10273.72,0.0,C571401436,4037.55,28529.07,0,0
581,PAYMENT,1320.17,C328494845,73097.26,71777.09,C734964634,2101.16,3356.55,0,0
413,PAYMENT,1555.03,C157399755,77475.19,75920.16,C457198023,4930.22,6249.81,0,0
341,CASH_OUT,24099.48,C408866008,70955.78,46856.3,C368923025,9451.76,29413.22,0,0
376,PAYMENT,5052.91,C446500340,13902.88,8849.97,C537850857,11740.01,15498.11,0,0
423,CASH_IN,5974.07,C980287626,3609.58,0.0,C739785857,8455.24,14206.88,0,0
28,CASH_IN,80019.85,C385417912,239862.14,159842.29,C457807194,4173.99,61503.94,0,0
104,DEBIT,2105.61,C974233808,48265.07,46159.46,C354345679,29562.76,31187.99,0,0
183,TRANSFER,9550.31,C730230758,6734.59,0.0,C229579359,1460.09,9925.88,0,0
86,CASH_IN,45176.4,C723044002,113066.14,67889.74,C588419953,426311.77,467453.63,0,0
327,CASH_IN,34766.57,C837804245,5982.46,0.0,C711712529,19409.67,52102.31,0,0
497,CASH_OUT,6079.62,C858081196,110863.51,104783.89,C573936187,645.82,5649.88,0,0
487,PAYMENT,4817.3,C300200875,122691.32,117874.02,C322651790,6859.66,10732.88,0,0
351,CASH_IN,354.3,C478822687,3353.55,2999.25,C439352116,19748.45,20027.13,0,0
636,CASH_OUT,1210.46,C575407962,31972.69,30762.23,C413093079,2620.54,3674.16,0,0
420,PAYMENT,14372.14,C979085492,43186.62,28814.48,C283391972,333.2,11896.89,0,0
59,CASH_OUT,6322.13,C136547512,674929.69,668607.56,C947963309,757.24,5805.01,0,0
569,CASH_IN,9273.06,C529107109,4387.65,0.0,C396777221,13039.88,19578.01,0,0
427,CASH_IN,52609.74,C292830240,114555.52,61945.78,C325538682,208.87,52002.89,0,0
472,CASH_OUT,956.06,C286125914,13711.9,12755.84,C645984820,361.83,1048.45,0,0
421,CASH_OUT,5296.89,C785585444,2075.49,0.0,C518223482,12917.04,17055.3,0,0
412,PAYMENT,11380.76,C281703934,11159.2,0.0,C700633521,3292.53,14405.0,0,0
68,PAYMENT,2281.33,C814058488,13409.21,11127.88,C185507700,1404.72,3504.92,0,0
416,PAYMENT,106580.82,C798764016,2728.93,0.0,C579366219,2017.23,95109.39,0,0
591,TRANSFER,41583.4,C252929523,21338.33,0.0,C159927662,348.12,37700.17,0,0
226,CASH_OUT,13660.18,C228149132,56202.35,42542.17,C223763382,11754.79,21714.67,0,0
448,CASH_OUT,204764.78,C493412766,19097.28,0.0,C632796964,1150.81,194160.9,0,0
23,PAYMENT,545.66,C595931254,5926.77,5381.11,C284113677,1873.65,2296.55,0,0
259,CASH_OUT,7991.17,C800509715,10692.44,2701.27,C132924782,9174.78,17060.98,0,0
325,PAYMENT,15668.48,C480437572,13268.99,0.0,C261079861,3096.63,15152.15,0,0
731,PAYMENT,1562.12,C914100268,18508.45,16946.33,C795538958,1382.47,2769.02,0,0
160,CASH_IN,13922.84,C688662881,70597.23,56674.39,C628114832,136.87,12160.6,0,0
206,CASH_OUT,1105.61,C725913632,20088.64,18983.03,C443618129,9522.06,10343.45,0,0
304,CASH_IN,28085.34,C527378048,1629.38,0.0,C976044876,5665.71,28383.33,0,0
738,CASH_IN,54399.08,C230815274,5747.49,0.0,C447177697,1936.63,52766.47,0,0
635,CASH_OUT,13229.44,C645364385,17137.62,3908.18,C889515336,759.52,10863.85,0,0
26,CASH_OUT,288.58,C505785945,72127.22,71838.64,C410459571,5028.98,5314.34,0,0
174,PAYMENT,1421.93,C819776689,93598.5,92176.57,C122726694,11670.85,12792.25,0,0
611,PAYMENT,22392.42,C794446839,191382.25,168989.83,C199226891,5860.36,25745.2,0,0
44,PAYMENT,8418.25,C479848956,16251.19,7832.94,C346353961,93762.28,101217.99,0,0
636,CASH_OUT,63.48,C669257646,41980.64,41917.16,C267915889,17476.18,17529.58,0,0
210,CASH_OUT,75894.14,C673324555,1507.65,0.0,C445012252,4051.69,72098.99,0,0
682,CASH_OUT,10362.84,C578690408,25458.94,15096.1,C978110057,18562.56,28128.22,0,0
219,CASH_IN,1855.05,C992736468,2662.72,807.67,C995694986,5364.68,7007.7,0,0
323,TRANSFER,48577.71,C328362159,12163.45,0.0,C281181866,5331.28,47496.65,0,0
492,CASH_OUT,2393.3,C819250230,1257652.67,1255259.37,C934910749,50688.53,52799.39,0,0
94,CASH_OUT,2346.75,C941813825,21064.22,18717.47,C634130711,976.03,2901.74,0,0
414,PAYMENT,15444.91,C647818167,3656.57,0.0,C303266335,5125.37,16265.2,0,0
376,CASH_OUT,199959.32,C461413858,24629.09,0.0,C617433304,41834.56,191386.04,0,0
583,CASH_IN,150611.19,C413656790,6151.11,0.0,C703328377,8571.37,141412.13,0,0
741,CASH_IN,15482.73,C521193669,3161.76,0.0,C988166713,2529.32,17673.79,0,0
494,PAYMENT,18625.64,C147210052,313235.1,294609.46,C187306489,227.9,13409.68,0,0
305,PAYMENT,33681.3,C575741695,66185.59,32504.29,C117432159,82.55,29156.6,0,0
302,CASH_IN,843.39,C342633774,22433.37,21589.98,C174173311,206308.14,206962.29,0,0
311,PAYMENT,25834.52,C338829894,7422.45,0.0,C428381403,8563.99,31001.84,0,0
605,PAYMENT,2161.74,C604317934,8381.78,6220.04,C359518804,1717.57,3716.96,0,0
239,PAYMENT,14375.21,C967291698,135093.55,120718.34,C748332109,9219.01,22453.34,0,0
125,CASH_OUT,5380.62,C285274611,21159.97,15779.35,C592522298,892.64,5829.17,0,0
249,CASH_IN,19973.77,C920338484,131.08,0.0,C900062729,2707.65,21356.7,0,0
17,PAYMENT,10022.48,C567465125,504542.71,494520.23,C779253492,903.53,8137.59,0,0
79,CASH_OUT,32.09,C443990929,17581.34,17549.25,C673719942,386.1,413.47,0,0
67,PAYMENT,11181.38,C997227614,22360.55,11179.17,C389346176,111.17,8816.25,0,0
574,PAYMENT,25741.9,C693966387,68189.25,42447.35,C987491125,277.06,25410.97,0,0
537,CASH_IN,18081.98,C702820085,26852.23,8770.25,C747405158,30894.02,47798.21,0,0
518,PAYMENT,6736.83,C606897103,40960.48,34223.65,C951060037,831.82,5764.95,0,0
344,PAYMENT,155731.87,C572603244,7075.65,0.0,C594337002,12871.95,133248.61,0,0
533,PAYMENT,14192.54,C865660511,2111.82,0.0,C209770747,27500.66,39373.66,0,0
120,CASH_OUT,17815.28,C813114634,20340.09,2524.81,C674568955,5063.65,22680.69,0,0
670,PAYMENT,53108.14,C121424389,114396.07,61287.93,C642192420,2871.47,41794.53,0,0
373,CASH_OUT,15563.25,C725156890,5055.82,0.0,C977882709,6244.41,19790.53,0,0
697,PAYMENT,1609.32,C769724398,4482.62,2873.3,C326950514,2321.77,3613.07,0,0
114,PAYMENT,100.58,C547557421,83410.45,83309.87,C978164084,42917.57,43007.48,0,0
370,PAYMENT,3432.97,C401962494,6728.67,3295.7,C174255874,144027.71,147098.89,0,0
518,CASH_OUT,31878.97,C705898024,7216.75,0.0,C559905626,66813.56,91429.78,0,0
369,CASH_IN,4291.65,C465715285,7633.36,3341.71,C220123232,102.23,4118.11,0,0
332,CASH_OUT,34273.27,C431760838,12118.99,0.0,C960762380,2238.03,27167.68,0,0
124,CASH_OUT,10590.48,C140497547,1260.85,0.0,C786885654,4951.7,14964.38,0,0
284,CASH_OUT,82332.31,C128545437,5949.07,0.0,C914207542,11310.7,74178.83,0,0
178,DEBIT,4762.89,C174771807,18874.22,14111.33,C642278378,219.39,4395.84,0,0
225,CASH_OUT,18801.78,C481410487,18673.43,0.0,C457005338,213.11,15333.37,0,0
508,PAYMENT,20142.62,C559374220,75886.16,55743.54,C485522307,51648.76,69433.36,0,0
469,PAYMENT,120919.87,C467518775,210889.24,89969.37,C952182776,1796.48,96141.23,0,0
452,CASH_OUT,375.42,C959653737,129149.4,128773.98,C236410061,337.87,664.74,0,0
269,PAYMENT,3550.58,C302311991,52679.34,49128.76,C896331297,674.15,3168.29,0,0
714,PAYMENT,37321.65,C453667373,10688.23,0.0,C479809775,9925.42,40243.15,0,0
66,CASH_OUT,130955.61,C369774077,5246.92,0.0,C631345465,1118.13,125253.15,0,0
255,CASH_IN,12483.07,C625725622,13722.85,1239.78,C700288243,7592.58,18064.65,0,0
88,PAYMENT,4784.48,C378918055,32156.44,27371.96,C173906117,844.12,4909.87,0,0
252,TRANSFER,31660.12,C385994298,45839.74,14179.62,C233815893,212.82,28278.66,0,0
715,PAYMENT,38702.71,C703744290,34017.44,0.0,C244711216,63823.98,95957.4,0,0
273,PAYMENT,4241.23,C847226717,11139.32,6898.09,C649806151,10064.22,14136.32,0,0
676,TRANSFER,14684.58,C291309536,43490.31,28805.73,C791034892,2695.26,14751.26,0,0
368,CASH_OUT,67842.84,C315532001,88548.77,20705.93,C979257136,1922.82,68596.44,0,0
520,PAYMENT,243488.79,C619880451,50023.12,0.0,C472618586,68653.04,303152.57,0,0
340,CASH_OUT,30843.73,C244040254,12733.36,0.0,C290950569,14253.45,39740.44,0,0
198,TRANSFER,8773.14,C138490132,3824.67,0.0,C500398173,38725.88,45829.84,0,0
568,CASH_IN,7351.54,C575416564,3690.99,0.0,C754620823,1718.75,8357.11,0,0
721,CASH_OUT,22099.58,C678067917,4808.66,0.0,C672875431,5384.07,25861.36,0,0
196,PAYMENT,6579.99,C128442717,19645.68,13065.69,C623792459,10137.11,15109.99,0,0
579,CASH_OUT,11399.82,C484682452,29135.3,17735.48,C668030378,1825.99,10630.23,0,0
195,PAYMENT,1206.91,C793041065,1600.71,393.8,C295610795,4138.31,5036.1,0,0
533,CASH_OUT,83675.62,C558527216,6272.98,0.0,C286033599,1719.01,79387.35,0,0
587,TRANSFER,1040.72,C275318954,19243.49,18202.77,C621411934,10079.98,11031.53,0,0
334,PAYMENT,3722.68,C262857354,3465.04,0.0,C875064263,455.54,3272.55,0,0
548,CASH_OUT,9659.22,C697184277,25613.02,15953.8,C662984514,13760.34,22077.53,0,0
203,PAYMENT,291786.13,C516713814,8424.15,0.0,C509748910,8597.99,279746.61,0,0
59,CASH_OUT,3786.4,C405138841,4513.69,727.29,C613364784,3408.56,7134.79,0,0
72,PAYMENT,2443.46,C106986411,14469.64,12026.18,C722539318,11038.35,12879.64,0,0
333,PAYMENT,3006.49,C433623175,24062.76,21056.27,C267546220,2548.11,4927.14,0,0
671,PAYMENT,160494.49,C801407485,3741.37,0.0,C515897739,1471.1,130589.23,0,0
95,CASH_IN,51.3,C755574549,9284.31,9233.01,C750754537,13078.27,13123.8,0,0
339,CASH_OUT,1332.85,C483392888,26944.04,25611.19,C165918845,14138.05,15125.59,0,0
524,PAYMENT,1106065.49,C336440510,4259.32,0.0,C244080731,1972.22,840401.63,0,0
151,CASH_OUT,23472.57,C312194055,1111.39,0.0,C632080010,1690.04,23616.5,0,0
537,CASH_OUT,1106.8,C290130525,1332.94,226.14,C314590565,3535.63,4490.37,0,0
228,CASH_IN,7514.18,C140756702,7136.11,0.0,C220428686,1819.63,7441.11,0,0
601,CASH_OUT,9149.17,C123514426,1848.95,0.0,C325257933,76512.88,83983.45,0,0
431,PAYMENT,37161.38,C585926929,7930.07,0.0,C519876852,8687.64,36200.0,0,0
407,CASH_IN,222149.0,C301109828,162334.5,0.0,C258303309,5045.64,184721.31,0,0
132,CASH_OUT,16307.71,C847792795,1689.36,0.0,C573601311,916.99,14290.29,0,0
345,TRANSFER,3066.77,C776983749,8743.73,5676.96,C939683583,18586.32,20836.2,0,0
637,CASH_IN,33414.73,C792200535,327242.52,293827.79,C842330820,1634.53,25624.64,0,0
15,PAYMENT,2305.71,C511325086,24641.69,22335.98,C896108525,1517.86,3741.67,0,0
564,CASH_OUT,1261.42,C494010519,7695.69,6434.27,C465403944,19746.0,20964.9,0,0
367,PAYMENT,341.1,C483026953,10558.39,10217.29,C424528792,9869.27,10108.3,0,0
535,PAYMENT,484.33,C276508319,25439.13,24954.8,C384586890,54.26,486.46,0,0
493,PAYMENT,1613.88,C610593601,170017.71,168403.83,C374637637,3699.72,4874.79,0,0
322,CASH_IN,972.61,C877135998,6025.28,5052.67,C927721498,6160.64,7077.85,0,0
230,CASH_OUT,14240.22,C330968245,4288.04,0.0,C223738014,2667.05,16392.75,0,0
467,PAYMENT,935.5,C151102930,1688.82,753.32,C924695034,6559.4,7387.3,0,0
105,CASH_OUT,28.26,C608236382,15594.04,15565.78,C859638112,189.15,214.13,0,0
434,CASH_OUT,1237.64,C459300452,1622.09,384.45,C664778672,30.09,1034.37,0,0
71,CASH_IN,3465.64,C817708438,6663.01,3197.37,C870081575,849.08,3534.4,0,0
483,TRANSFER,2724.91,C870953627,3418.56,693.65,C128605223,8168.53,10484.11,0,0
468,PAYMENT,124884.48,C955575045,66915.46,0.0,C835537222,14.81,92443.71,0,0
63,PAYMENT,2685.5,C453859018,6231.71,3546.21,C559899472,1076.66,3498.09,0,0
563,PAYMENT,39563.5,C911572901,24231.18,0.0,C962584313,154.32,33428.25,0,0
309,CASH_OUT,7830.89,C206087923,1204.55,0.0,C177219052,3175.68,9074.54,0,0
585,CASH_OUT,7508.95,C435461816,16272.97,8764.02,C616375616,166744.61,173326.16,0,0
31,CASH_OUT,1801.39,C339354550,2197.9,396.51,C193468344,3324.53,5015.31,0,0
134,PAYMENT,7289.51,C930790709,7055.25,0.0,C558065546,4050.09,10440.36,0,0
368,CASH_IN,2044.33,C640026497,368355.53,366311.2,C133407198,22261.54,24017.41,0,0
140,PAYMENT,11004.33,C429271071,54082.26,43077.93,C174561440,5106.92,15608.52,0,0
246,PAYMENT,5296.23,C236832316,11019.05,5722.82,C578531929,3337.63,7062.08,0,0
491,CASH_OUT,1479.81,C804690314,1620771.56,1619291.75,C834274533,26054.94,27364.61,0,0
108,DEBIT,48310.77,C689441793,3385.44,0.0,C197380596,11491.89,51247.19,0,0
504,CASH_IN,17471.27,C867666635,76712.85,59241.58,C336085459,8262.86,21507.3,0,0
77,TRANSFER,3617.31,C494345737,1340.76,0.0,C452194150,3828.38,7423.53,0,0
131,PAYMENT,10528.99,C234916173,9266.08,0.0,C587335927,2636.17,11281.99,0,0
437,PAYMENT,6968.25,C400950550,1769.26,0.0,C100651485,25614.34,31192.97,0,0
590,CASH_OUT,1699.92,C658066769,19651.6,17951.68,C675134988,2682.13,3958.26,0,0
127,CASH_IN,9199.4,C316832932,14529.78,5330.38,C548087107,45082.76,54275.99,0,0
223,CASH_IN,2649.64,C163639058,8421.16,5771.52,C371201321,746.31,3281.53,0,0
688,CASH_IN,1479.0,C840996987,68739.93,67260.93,C544430523,64913.51,65979.86,0,0
736,CASH_IN,436.6,C577478982,5706.45,5269.85,C173453403,11495.05,11874.77,0,0
432,CASH_IN,4249.29,C457006552,21813.35,17564.06,C850487980,859.75,4022.16,0,0
333,TRANSFER,22483.73,C597560937,45744.75,23261.02,C514437243,12285.33,32851.97,0,0
258,CASH_IN,2320.67,C764631338,1443.99,0.0,C871693481,1524.55,3486.04,0,0
456,CASH_IN,757118.94,C101211830,4347.6,0.0,C365867948,5219.57,560276.1,0,0
440,PAYMENT,39904.09,C496319673,14483.88,0.0,C312243604,2046.88,36648.18,0,0
220,DEBIT,84778.24,C328814209,34379.99,0.0,C317772079,3869.03,86375.44,0,0
17,PAYMENT,33909.06,C132374711,112629.24,78720.18,C289960001,26757.64,53964.86,0,0
113,PAYMENT,227557.21,C496455377,9664.17,0.0,C179750794,12497.96,175256.36,0,0
713,PAYMENT,1965.29,C589562197,8310.65,6345.36,C987445320,648.29,2581.27,0,0
311,PAYMENT,80.69,C556919001,3608.71,3528.02,C958542759,718.69,778.61,0,0
359,CASH_OUT,3629.95,C804661916,21916.09,18286.14,C349573131,8001.59,11059.88,0,0
348,PAYMENT,22132.3,C512057973,8555.45,0.0,C497992274,9115.55,28224.65,0,0
582,CASH_OUT,10643.78,C630900596,8856.9,0.0,C541693127,1459.72,9667.42,0,0
49,CASH_OUT,13304.41,C834617540,11604.72,0.0,C124127214,86195.04,96216.26,0,0
62,CASH_OUT,87346.48,C691563024,30559.84,0.0,C134902733,21253.8,85361.02,0,0
205,CASH_IN,16118.19,C299437212,5735.35,0.0,C347533803,1593.94,13214.94,0,0
362,PAYMENT,34133.8,C808100807,4195.48,0.0,C707024291,1339.35,30436.3,0,0
499,CASH_OUT,1493.36,C727068004,25529.41,24036.05,C906845347,3261.48,4684.06,0,0
365,CASH_IN,1128.1,C624503711,142.8,0.0,C728705751,2704.47,3537.04,0,0
328,CASH_OUT,148064.77,C103371077,5401.77,0.0,C491908722,47149.73,181916.17,0,0
697,PAYMENT,9716.91,C587304964,2375.67,0.0,C927267349,28915.74,36920.4,0,0
120,CASH_OUT,2639.08,C872619903,81217.61,78578.53,C316040444,5235.02,7110.26,0,0
425,PAYMENT,2647.81,C680154426,6895.34,4247.53,C666254951,16651.07,18930.28,0,0
403,PAYMENT,2518.9,C104589281,5761.34,3242.44,C192779736,21619.6,23573.27,0,0
352,CASH_IN,2261.7,C359047266,12420.04,10158.34,C683480339,5458.17,7452.03,0,0
601,PAYMENT,804.59,C612411748,5469.49,4664.9,C118484482,10144.77,10792.3,0,0
